"id_transcripcio";"id_document";"id_marit";"id_pare_marit";"id_mare_marit";"id_esposa";"id_pare_esposa";"id_mare_esposa";"dia";"mes";"ano";"parroquia";"impost";"numero";"puntets";"observacions";"data_creacio";"creada_per";"liquidacio";"text_liquidacio";"data_modificacio";"modificada_per"
166474;10354;998862;998863;998864;998865;998866;998867;1;5;1617;"";"4s (6)";1;"0";"";"2011-09-26 15:44:29";1;"0";"";"";0
166475;10354;998868;998869;998870;998871;998872;998873;1;5;1617;"";"4s (6)";2;"0";"";"2011-09-26 15:44:29";1;"0";"";"";0
166476;10354;998874;998875;998876;998877;998878;998879;2;5;1617;"";"4s (6)";3;"0";"";"2011-09-26 15:44:29";1;"0";"";"";0
166477;10354;998880;998881;998882;998883;998884;998885;2;5;1617;"";"4s (6)";4;"0";"";"2011-09-26 15:44:29";1;"0";"";"";0
166478;10354;998886;998887;998888;998889;998890;998891;2;5;1617;"";"4s (6)";5;"0";"";"2011-09-26 15:44:29";1;"0";"";"";0
166479;10354;998892;998893;998894;998895;998896;998897;2;5;1617;"";"4s (6)";6;"0";"";"2011-09-26 15:44:29";1;"0";"";"";0
166480;10354;998898;998899;998900;998901;998902;998903;3;5;1617;"";"4s (6)";7;"0";"";"2011-09-26 15:44:29";1;"0";"";"";0
166481;10354;998904;998905;998906;998907;998908;998909;3;5;1617;"";"4s (6)";8;"0";"";"2011-09-26 15:44:29";1;"0";"";"";0
166482;10355;998910;998911;998912;998913;998914;998915;4;5;1617;"";"4s (6)";1;"0";"";"2011-09-26 15:44:29";1;"0";"";"";0
166483;10355;998916;998917;998918;998919;998920;998921;5;5;1617;"";"4s (6)";2;"0";"";"2011-09-26 15:44:29";1;"0";"";"";0
166484;10355;998922;998923;998924;998925;998926;998927;5;5;1617;"";"4s (6)";3;"0";"";"2011-09-26 15:44:29";1;"0";"";"";0
166485;10355;998928;998929;998930;998931;998932;998933;5;5;1617;"";"4s (6)";4;"0";"";"2011-09-26 15:44:29";1;"0";"";"";0
